"variable_id","mean_value_1","sd_value_1","mean_value_2","sd_value_2","mean_value_3","sd_value_3","mean_value_4","sd_value_4","mean_value_5","sd_value_5"
"resilience_total",28.1428571428571,6.05960037074912,31.3972835314092,6.24105286851253,32.7046332046332,5.20299885263862,32.4762886597938,5.47288155165876,32.4912718204489,5.43880029311878
"gfma_total",16.7352024922118,7.10616884167262,13.8776595744681,7.20821498372363,14.3744588744589,7.55833691131186,14.7837209302326,7.81411162159583,14.3426966292135,7.67879667275477
"gratitude_total",36.7071651090343,5.26118851471424,38.2872340425532,5.11562022740388,38.6493506493507,4.17907056818518,38.4,4.71401224244395,38.7612359550562,4.71100152510276
"self_efficacy_total",31.3091190108192,4.54597705966396,34.1305114638448,4.36828073652166,34.4098712446352,4.22657099182988,34.150462962963,4.53530105964767,34.2841225626741,4.44237451560443
"burnout_total",38.5030864197531,8.19544807378328,34.6214788732394,8.28351436014665,32.3982869379015,8.31642444287546,32.9398148148148,8.06908039582606,32.9473684210526,7.70064932327138
"burnout_disengagement",18.9660493827161,4.55453865832081,17.2764084507042,4.54287896993958,16.3618843683084,4.50556202325513,16.4791666666667,4.39938102058337,16.5540166204986,4.14902822487798
"burnout_exhaustion",19.537037037037,4.33794784620568,17.3450704225352,4.43657362532741,16.0364025695931,4.48324997946384,16.4606481481481,4.35898704109165,16.393351800554,4.16471422399656
"perma_pos_emotions",6.27769498261302,1.7312514053569,7.24588302101079,1.71950365639801,7.48388136686009,1.48316646148685,7.39243986254296,1.54313183414267,7.40601503759398,1.61027116359962
"perma_engagement",6.72081470442126,1.70509399670158,7.61442362294151,1.57118903595793,7.73887814313346,1.54405147231617,7.62749140893471,1.52423798352626,7.59899749373434,1.53104450019567
"perma_relationships",6.01241927471436,2.05141493678188,7.05848949460534,1.9976724580265,7.18955512572534,1.88154899231693,7.10378006872852,1.84350967508867,7.14452798663325,1.91018238778104
"perma_meaning",6.274217585693,2.02979039176697,7.50936967632027,1.87888322195421,7.78207607994842,1.66453514506401,7.64742268041237,1.65979184758458,7.68922305764411,1.77544301942461
"perma_accomplishment",6.28266269249876,1.64112239551639,7.25070982396366,1.63404855588916,7.48484848484849,1.49418783649741,7.38900343642612,1.50202435827558,7.39097744360902,1.56338867919918
"perma_wellbeing",6.31585320417288,1.5263506156602,7.34118398637138,1.53775179110286,7.53806167237018,1.39129556916553,7.43646907216495,1.40010960833922,7.44815162907268,1.47075637787377
"perma_neg_emotion",4.64878291107799,1.898505502586,3.89721749006246,2.01281395147268,3.54932301740812,1.86713785855226,3.66872852233677,1.94229077233135,3.64327485380117,1.9684867289761
"perma_health",6.28812717337308,2.15181125134495,6.90176036342987,2.05766386696749,7.17214700193424,1.97928061015406,7.13539518900344,1.95560116211279,7.23475355054302,1.95189944261607
"pfi_fulfillment",2.18934911242604,0.96484458523646,2.6952861952862,0.931072224172578,2.81153846153846,0.855833299478864,2.74164962508521,0.918435405319066,2.85277088502895,0.901043503618631
"pfi_emotexhaust",1.87017804154303,0.96888101894824,1.41863738738739,1.00848107902515,1.07418111753372,0.878495804389539,1.1875,0.892552749521068,1.05845771144279,0.912303330059494
"pfi_disengagement",1.29030662710188,0.975536159771415,0.968813559322034,0.959938485011107,0.717276814386641,0.804131299837652,0.754962354551677,0.824137127396129,0.687032418952618,0.809793032064192
"pss_total",19.0417910447761,6.60669926008617,16.6262798634812,7.18178551830561,13.1550387596899,6.42047648161115,14.3010309278351,6.56280048261878,13.9774436090226,6.64664440832036
"dom1",14.5333923042901,2.61277334232116,15.5716805240615,2.62987450853432,16.5247311827957,2.49515993455004,16.3333333333333,2.44536880457097,16.3613211301234,2.46456407853228
"dom2",12.2063983488132,2.23171108428602,13.2504409171076,2.14849663511823,14.1195698924731,2.09744914552346,14.025,2.08040800032009,14.1509749303621,2.13018815150734
"dom3",11.922480620155,3.4665192544872,13.3086419753086,3.74409334292296,13.5822603719599,3.69041252503565,13.5524691358025,3.51761656078407,13.4484679665738,3.56430550277061
"dom4",13.1978328173375,2.70562347654156,14.3844797178131,2.6483154928513,16.0150537634409,2.68653034779123,15.9606481481481,2.53254043676465,16.0941504178273,2.58565969877514
