"sample_id","subject_id","survey_timestamp","check_point","class"
"291_1","291",2022-11-23 18:34:21.5,"1","Subject"
"293_1","293",2022-11-24 03:56:38,"1","Subject"
"295_1","295",2022-11-24 06:19:17.5,"1","Subject"
"296_1","296",2022-11-26 18:41:56.5,"1","Subject"
"298_1","298",2022-11-23 21:52:57,"1","Subject"
"302_1","302",2022-11-30 14:32:17,"1","Subject"
"310_1","310",2022-11-24 00:35:22,"1","Subject"
"317_1","317",2022-11-24 12:26:40.5,"1","Subject"
"321_1","321",2022-11-25 15:17:52,"1","Subject"
"326_1","326",2022-11-24 02:12:21.5,"1","Subject"
"328_1","328",2022-11-25 11:14:51,"1","Subject"
"329_1","329",2022-11-24 14:39:10,"1","Subject"
"335_1","335",2022-11-24 07:51:17.5,"1","Subject"
"339_1","339",2022-11-24 22:47:06.5,"1","Subject"
"343_1","343",2022-11-28 13:57:37.5,"1","Subject"
"346_1","346",2022-11-24 00:55:48.5,"1","Subject"
"349_1","349",2022-11-23 19:00:46.5,"1","Subject"
"350_1","350",2022-11-24 05:15:30.5,"1","Subject"
"351_1","351",2022-11-25 00:55:38.5,"1","Subject"
"352_1","352",2022-11-23 20:31:39,"1","Subject"
"353_1","353",2022-11-23 23:24:29,"1","Subject"
"354_1","354",2022-11-23 18:17:08.5,"1","Subject"
"358_1","358",2022-11-23 20:23:43,"1","Subject"
"361_1","361",2022-11-24 10:06:06.5,"1","Subject"
"363_1","363",2022-11-24 07:54:15,"1","Subject"
"364_1","364",2022-11-23 18:33:21.5,"1","Subject"
"366_1","366",2022-11-23 18:45:00,"1","Subject"
"369_1","369",2022-11-23 19:51:10,"1","Subject"
"370_1","370",2022-11-23 20:47:23,"1","Subject"
"373_1","373",2022-11-23 19:43:28,"1","Subject"
"379_1","379",2022-11-23 21:00:01.5,"1","Subject"
"381_1","381",2022-11-24 18:55:51,"1","Subject"
"383_1","383",2022-11-25 07:03:06,"1","Subject"
"384_1","384",2022-11-27 18:05:48,"1","Subject"
"385_1","385",2022-11-24 00:50:20,"1","Subject"
"386_1","386",2022-11-26 11:08:12,"1","Subject"
"396_1","396",2022-11-28 02:07:04,"1","Subject"
"399_1","399",2022-11-24 22:53:15.5,"1","Subject"
"403_1","403",2022-11-26 00:21:45.5,"1","Subject"
"407_1","407",2022-11-27 09:16:53,"1","Subject"
"409_1","409",2022-11-29 04:46:50,"1","Subject"
"414_1","414",2022-11-26 03:12:41.5,"1","Subject"
"416_1","416",2022-11-29 01:44:59.5,"1","Subject"
"422_1","422",2022-11-25 03:59:54,"1","Subject"
"425_1","425",2022-11-24 19:15:28.5,"1","Subject"
"426_1","426",2022-11-26 07:00:49,"1","Subject"
"429_1","429",2022-11-25 23:22:50.5,"1","Subject"
"431_1","431",2022-11-28 16:56:21,"1","Subject"
"433_1","433",2022-11-26 05:47:17.5,"1","Subject"
"434_1","434",2022-11-24 17:53:29.5,"1","Subject"
"437_1","437",2022-11-24 04:19:16,"1","Subject"
"439_1","439",2022-11-28 07:31:35.5,"1","Subject"
"454_1","454",2022-11-28 06:42:22,"1","Subject"
"461_1","461",2022-11-26 17:41:52.5,"1","Subject"
"462_1","462",2022-11-24 08:30:34.5,"1","Subject"
"466_1","466",2022-11-26 20:58:57,"1","Subject"
"474_1","474",2022-11-25 01:29:20,"1","Subject"
"476_1","476",2022-11-25 10:25:43.5,"1","Subject"
