"resilience_total","cdrisc_1","cdrisc_2","cdrisc_3","cdrisc_4","cdrisc_5","cdrisc_6","cdrisc_7","cdrisc_8","cdrisc_9","cdrisc_10","gfma_1_r","gfma_2","gfma_3","gfma_4_r","gfma_5","gfma_6","gfma_7_r","gfma_8_r","gfma_9","gfma_10","gfma_11_r","gfma_12_r","gfma_13","gfma_14_r","gfma_15","gfma_16_r","gfma_17_r","gfma_18","gfma_19","gfma_20_r","gfma_total","gratitude_total","gratitude_1","gratitude_2","gratitude_3_r","gratitude_4","gratitude_5","gratitude_6_r","self_efficacy_total","gse_1","gse_2","gse_3","gse_4","gse_5","gse_6","gse_7","gse_8","gse_9","gse_10","burnout_total","burnout_disengagement","burnout_exhaustion","olbi_1","olbi_2_r","olbi_3_r","olbi_4_r","olbi_5","olbi_6_r","olbi_7","olbi_8_r","olbi_9_r","olbi_10","olbi_11_r","olbi_12_r","olbi_13","olbi_14","olbi_15","olbi_16","perma_pos_emotions","perma_engagement","perma_relationships","perma_meaning","perma_accomplishment","perma_wellbeing","perma_neg_emotion","perma_health","perma_1","perma_2","perma_3","perma_4","perma_5","perma_6","perma_7","perma_8","perma_9","perma_10","perma_11","perma_12","perma_13","perma_14","perma_15","perma_16","perma_17","perma_18","perma_19","perma_20","perma_21","perma_22","perma_23","pfi_fulfillment","pfi_emotexhaust","pfi_disengagement","pfi_1","pfi_2","pfi_3","pfi_4","pfi_5","pfi_6","pfi_7","pfi_8","pfi_9","pfi_10","pfi_11","pfi_12","pfi_13","pfi_14","pfi_15","pfi_16","pss_total","pss_1","pss_2","pss_3","pss_4_r","pss_5_r","pss_6","pss_7_r","pss_8_r","pss_9","pss_10","dom1","dom2","dom3","dom4","who_1","who_2","who_3_r","who_4_r","who_5","who_6","who_7","who_8","who_9","who_10","who_11","who_12","who_13","who_14","who_15","who_16","who_17","who_18","who_19","who_20","who_21","who_22","who_23","who_24","who_25","who_26_r"
33,3,4,3,3,4,4,2,3,3,4,0,0,0,1,1,1,1,0,0,0,0,1,1,2,0,0,1,0,0,1,10,35,7,7,6,5,6,4,33,4,3,2,3,3,3,4,3,4,4,23,10,13,1,4,1,1,2,1,1,1,2,1,1,1,2,2,1,1,5.33333333333333,9.66666666666667,7.66666666666667,5.66666666666667,6,6.875,5,5.33333333333333,7,8,9,6,6,8,7,4,6,5,10,6,4,4,8,6,4,6,7,4,10,5,7,1.66666666666667,2.75,3,1,1,2,2,3,1,2,3,3,3,3,3,3,3,3,3,22,3,3,4,1,2,3,1,3,1,1,15.4285714285714,11.2,16,15.5,4,3,4,5,3,3,4,5,5,1,2,3,3,2,5,4,5,3,4,4,4,4,5,3,5,2
24,3,3,2,3,2,3,2,2,2,2,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,10,39,6,6,6,7,7,7,30,3,3,2,3,4,4,2,3,3,3,39,20,19,3,3,2,2,2,3,2,2,2,2,1,2,4,3,3,3,5,3.66666666666667,8,4,4.33333333333333,5.0625,4.33333333333333,4.66666666666667,5,4,4,5,5,8,6,3,3,6,4,2,4,3,8,6,4,5,8,4,3,4,6,1.66666666666667,0.75,0,2,2,2,1,2,1,0,1,2,0,0,0,0,0,0,0,19,2,1,2,2,2,1,2,2,2,3,15.4285714285714,9.6,17.3333333333333,14,4,2,5,5,3,3,2,5,3,2,1,2,4,3,5,4,4,2,2,4,4,5,2,4,5,3
40,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,7,7,7,7,7,40,4,4,4,4,4,4,4,4,4,4,34,20,14,2,3,4,1,1,2,1,3,3,1,3,3,4,1,1,1,9.33333333333333,9.66666666666667,9,10,9.66666666666667,9.5625,0.666666666666667,10,10,10,10,10,9,8,0,9,10,9,9,1,10,1,10,10,10,10,9,1,10,10,10,2.33333333333333,3,0,2,2,2,4,1,3,3,3,3,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,18.8571428571429,16,16,18.5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,5,4,5,5,5,4,3,5,5,5,5,2
26,3,2,2,3,2,3,3,3,3,2,1,1,1,1,1,1,1,1,0,1,2,2,1,1,2,2,1,2,0,0,22,39,7,7,6,7,6,6,30,3,3,3,3,3,3,3,3,3,3,35,18,17,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,7,7,7,7.33333333333333,7,7.125,5.66666666666667,5.33333333333333,7,6,8,6,7,6,7,7,8,7,5,2,3,5,8,8,7,7,7,5,8,7,8,3,1.25,1,3,3,3,2,4,3,1,2,1,1,2,1,1,0,1,1,23,3,3,2,2,2,3,2,2,2,2,16,13.6,14.6666666666667,12,4,2,4,5,4,4,3,4,3,3,2,3,3,1,4,3,4,5,4,4,3,4,4,2,4,3
38,4,4,3,4,4,4,3,4,4,4,0,0,1,0,0,2,2,0,1,1,0,2,0,0,2,1,2,0,1,1,16,42,7,7,7,7,7,7,36,3,3,3,4,4,4,3,4,4,4,36,21,15,2,1,3,1,2,2,2,4,4,1,1,2,4,1,3,3,9,9.66666666666667,8.66666666666667,8.33333333333333,8.33333333333333,8.75,2.66666666666667,8.66666666666667,9,7,9,9,10,8,4,8,9,10,10,1,8,2,9,10,7,9,9,2,10,7,8,1,1,0.833333333333333,1,0,1,0,1,3,0,0,1,3,0,2,0,0,0,3,15,2,2,1,1,2,2,2,1,2,0,17.1428571428571,13.6,16,15,5,4,2,5,5,4,2,4,5,4,3,4,4,2,5,4,5,5,3,4,4,4,4,3,4,2
32,4,4,2,4,2,4,2,3,4,3,1,1,0,0,1,0,0,1,1,0,2,1,1,1,1,0,1,1,2,1,16,35,6,6,6,6,6,5,31,4,3,2,3,3,4,2,3,3,4,43,25,18,3,3,3,2,2,4,2,2,3,3,3,2,4,1,3,3,6.33333333333333,8,4.33333333333333,6.33333333333333,6.66666666666667,6.375,2.66666666666667,8,7,5,7,8,7,5,3,5,5,7,7,4,7,2,8,10,7,9,0,3,10,5,7,2.16666666666667,2,1.16666666666667,2,2,1,4,2,2,2,2,2,2,2,1,1,1,1,1,15,2,1,2,1,2,1,1,3,1,1,14.8571428571429,12,12,14.5,3,4,4,5,3,4,4,5,4,2,3,3,4,3,5,4,3,3,3,2,3,4,3,4,3,2
13,1,1,1,1,3,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,32,29,5,4,4,4,6,6,23,2,3,2,2,2,3,2,2,2,3,59,29,30,3,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,3.33333333333333,4.33333333333333,4.33333333333333,3,4,3.875,6.33333333333333,8.33333333333333,3,3,5,8,2,4,8,5,4,5,5,3,8,7,6,4,2,9,3,4,3,3,5,1,4,3.5,2,1,1,0,1,1,4,4,4,4,4,4,4,3,3,3,33,4,3,4,3,2,3,3,3,4,4,15.4285714285714,11.2,12,11,3,4,5,5,3,3,2,3,3,2,2,2,2,2,5,4,3,3,3,3,3,3,3,3,4,3
24,2,2,2,3,3,2,3,3,2,2,1,3,3,3,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,2,26,32,6,5,7,5,6,3,26,3,2,3,3,3,3,3,2,2,2,37,18,19,2,3,2,3,2,1,2,2,3,3,2,3,4,1,2,2,4.33333333333333,3.66666666666667,0.333333333333333,4.33333333333333,3.33333333333333,3.5,4.66666666666667,5.66666666666667,6,4,3,3,2,0,8,3,3,5,4,9,5,1,1,3,4,9,0,5,4,6,8,1.33333333333333,2,2.5,2,1,1,2,1,1,2,2,2,2,2,2,2,3,3,3,21,1,4,3,2,3,2,1,2,1,2,12.5714285714286,8.8,4,7.5,2,2,3,5,2,2,2,3,3,2,3,1,2,0,4,3,2,3,2,1,1,1,2,2,2,2
26,3,3,3,3,2,3,2,2,3,2,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,15,38,7,6,7,6,6,6,28,3,3,1,3,3,3,3,3,3,3,46,24,22,3,4,3,3,3,3,3,2,2,2,3,3,4,2,3,3,6.66666666666667,6,5.66666666666667,5.66666666666667,4,5.6875,4.66666666666667,5.33333333333333,7,6,7,6,6,5,7,4,6,8,8,6,4,2,7,2,4,6,5,5,3,6,7,2.16666666666667,2.25,2.33333333333333,2,3,2,3,3,0,3,2,2,2,2,3,2,3,2,2,25,2,3,3,2,2,4,2,2,1,4,11.4285714285714,11.2,10.6666666666667,8.5,3,2,4,3,3,4,3,3,2,2,1,0,1,2,4,3,2,2,3,3,1,4,3,3,3,3
32,3,3,4,3,3,4,3,4,2,3,2,2,2,1,1,2,1,1,0,0,0,2,1,1,3,2,1,1,1,1,25,41,7,7,7,7,7,6,35,3,3,3,3,4,4,3,4,4,4,35,19,16,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,8.33333333333333,7.66666666666667,9.33333333333333,9,8,8.5,2,9,10,8,7,9,9,9,3,8,9,8,8,1,9,2,10,8,8,9,9,1,8,8,9,3,1.25,1.16666666666667,3,3,3,3,3,3,1,1,1,2,1,1,1,2,1,1,13,2,1,2,0,1,2,1,2,1,1,18.8571428571429,16.8,16,17.5,5,4,5,5,5,5,4,5,5,3,4,4,4,3,5,5,5,5,5,5,2,5,4,5,5,2
34,3,3,3,3,4,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,21,39,7,6,7,6,6,7,30,3,3,3,3,3,3,3,3,3,3,32,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.33333333333333,7.66666666666667,9,9.33333333333333,8.33333333333333,8.5625,1,9.66666666666667,10,9,8,10,8,9,1,7,9,9,8,0,9,1,9,9,9,10,9,1,7,8,9,3,0.25,0,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,9,2,1,0,0,1,1,1,1,1,1,17.7142857142857,14.4,16,15.5,4,5,5,5,4,4,3,4,4,3,4,4,3,3,5,4,5,4,5,4,4,4,5,4,4,1
32,4,3,3,2,4,3,3,2,4,4,1,1,1,0,0,1,1,3,0,1,0,1,1,1,1,2,2,0,0,1,18,41,7,7,7,7,7,6,39,4,4,3,4,4,4,4,4,4,4,33,15,18,1,2,1,3,2,1,1,2,4,2,3,3,3,3,1,1,7.66666666666667,8.66666666666667,8.33333333333333,7.66666666666667,7.66666666666667,7.9375,2.66666666666667,8,8,8,8,8,7,9,4,7,8,8,9,2,7,2,9,8,7,9,7,2,9,8,7,2.66666666666667,1.25,0,3,2,3,2,3,3,1,1,1,2,0,0,0,0,0,0,8,1,1,2,0,0,2,0,1,0,1,17.7142857142857,14.4,12,14.5,5,5,5,4,4,4,3,5,4,4,3,3,4,3,5,4,5,4,4,4,2,3,3,3,4,3
34,3,4,4,4,4,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,1,1,8,42,7,7,7,7,7,7,36,4,3,3,3,4,3,4,4,4,4,26,16,10,2,1,2,2,1,2,2,1,2,1,2,1,3,2,1,1,9,8.66666666666667,7,8.33333333333333,7,8.0625,2.66666666666667,8.66666666666667,9,8,9,9,9,6,3,6,8,10,8,1,8,3,8,7,8,9,7,2,9,8,9,3.83333333333333,0.25,0.666666666666667,4,4,3,4,4,4,0,0,1,0,1,1,1,0,0,1,14,2,2,2,1,0,1,1,1,2,2,18.8571428571429,16,13.3333333333333,14.5,4,5,5,5,5,5,3,4,3,3,3,2,4,2,5,5,5,5,5,4,2,4,4,5,5,2
23,2,2,3,3,2,2,2,3,3,1,1,1,1,1,1,2,2,0,0,1,2,2,1,1,1,1,1,1,1,0,21,32,6,5,6,5,6,4,29,3,3,3,3,3,3,2,3,3,3,44,20,24,3,4,2,3,3,3,2,2,2,3,2,3,3,3,3,3,6.33333333333333,6,6,5.33333333333333,6,6,6,5,6,6,6,6,7,8,8,7,6,6,6,8,4,3,6,5,4,5,4,7,6,6,7,2,3,2.5,2,2,2,2,2,2,2,3,4,3,2,2,2,3,3,3,23,2,4,4,2,2,3,1,2,1,2,8.57142857142857,11.2,10.6666666666667,7.5,3,3,1,3,3,3,3,2,3,1,2,0,2,1,2,3,3,2,3,3,1,4,2,2,3,3
35,3,4,4,3,4,3,3,3,4,4,1,1,1,1,0,1,2,1,0,0,1,1,0,0,2,1,1,1,1,2,18,42,7,7,7,7,7,7,36,4,3,3,4,3,4,3,4,4,4,28,14,14,1,2,2,2,1,3,1,2,2,2,2,2,1,1,2,2,9.33333333333333,8.33333333333333,8,9.33333333333333,8.66666666666667,8.75,0.666666666666667,8.66666666666667,9,7,8,9,10,9,1,9,9,10,9,1,8,1,8,10,10,9,7,0,8,8,9,4,0.25,0,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,1,1,1,0,1,17.7142857142857,16,13.3333333333333,17.5,5,4,5,5,5,5,3,4,5,3,3,4,4,4,5,3,5,5,5,3,4,3,5,5,4,2
32,3,3,3,3,4,4,3,3,3,3,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,10,36,7,7,6,7,4,5,34,3,4,3,3,3,4,4,3,3,4,34,16,18,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,7.33333333333333,8.33333333333333,7.66666666666667,7.66666666666667,7.33333333333333,7.6875,3.66666666666667,8.33333333333333,8,8,8,8,7,7,4,6,7,8,9,3,8,4,8,8,8,9,8,3,8,7,8,3,1.75,1,3,3,3,3,3,3,2,1,2,2,1,1,1,1,1,1,21,2,2,2,2,2,3,2,3,1,2,16.5714285714286,14.4,13.3333333333333,13.5,4,4,5,5,4,4,4,5,3,3,3,2,3,3,5,3,4,4,4,4,2,4,4,3,4,3
26,3,2,2,2,3,3,3,2,3,3,0,1,1,0,1,2,1,3,0,0,1,3,1,1,2,1,1,0,0,0,19,39,7,7,6,6,7,6,30,3,2,3,3,3,4,3,3,3,3,47,25,22,4,3,2,2,3,3,3,3,3,3,3,3,4,2,3,3,6.66666666666667,6.33333333333333,6.33333333333333,7,5.33333333333333,6.3125,5.33333333333333,4,6,5,6,6,6,8,5,5,8,8,6,8,3,4,7,6,7,3,4,7,7,6,6,1.66666666666667,1.5,1.66666666666667,2,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,23,3,2,3,1,3,2,2,1,3,3,15.4285714285714,12,10.6666666666667,16.5,4,2,4,5,3,3,4,3,3,2,2,4,4,4,4,4,4,4,4,3,1,4,5,5,5,3
34,4,4,3,3,3,4,4,3,4,2,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,1,8,37,6,6,6,6,7,6,35,4,3,3,3,4,4,3,4,4,3,42,18,24,2,4,2,3,2,3,2,4,2,3,3,3,2,2,2,3,5,7.33333333333333,5.33333333333333,6,6,5.9375,5.66666666666667,6.66666666666667,4,5,8,6,5,5,5,6,8,5,5,9,6,4,7,7,6,8,4,8,9,5,6,3.16666666666667,2,0,3,3,3,3,4,3,2,2,2,2,0,0,0,0,0,0,27,3,3,4,2,3,3,1,2,3,3,12,12.8,9.33333333333333,16.5,3,4,4,4,3,4,3,5,5,1,3,3,4,3,5,1,3,3,2,2,2,3,4,4,5,4
27,3,3,2,3,3,3,2,3,3,2,1,0,0,1,1,0,1,0,0,0,0,2,1,1,1,0,1,1,0,1,12,39,7,7,7,6,6,6,32,4,3,3,3,3,4,3,3,3,3,43,20,23,1,3,2,3,3,2,2,3,3,3,3,3,4,3,3,2,6,7.33333333333333,6.66666666666667,7,7.66666666666667,6.8125,6,3.66666666666667,6,6,8,3,6,7,9,8,8,8,7,5,3,4,7,9,7,5,6,5,7,4,5,1.66666666666667,2.25,1.33333333333333,2,2,1,2,1,2,2,2,2,3,2,1,1,1,2,1,23,2,2,4,2,1,3,2,2,2,3,12.5714285714286,11.2,9.33333333333333,13,4,2,3,4,3,4,3,4,4,2,1,3,3,1,3,3,3,4,3,2,2,3,2,4,5,3
39,4,4,3,4,4,4,4,4,4,4,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,3,0,0,0,0,11,42,7,7,7,7,7,7,37,4,3,3,3,4,4,4,4,4,4,27,14,13,1,2,4,2,1,1,1,1,1,1,2,2,2,2,2,2,8.66666666666667,10,9.33333333333333,8.66666666666667,8.66666666666667,9.0625,3.66666666666667,9,10,8,10,10,8,8,1,8,8,10,10,0,8,2,10,10,8,9,10,8,10,8,9,3.66666666666667,1.25,0,4,4,3,3,4,4,0,1,0,4,0,0,0,0,0,0,12,1,2,2,0,1,2,0,1,2,1,17.1428571428571,14.4,18.6666666666667,15,5,4,3,5,4,4,4,4,4,3,3,2,3,2,4,5,5,5,5,5,5,4,5,5,5,2
36,4,4,3,4,3,4,3,4,4,3,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,12,41,7,7,7,7,7,6,29,3,2,3,3,3,3,3,3,3,3,33,16,17,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,9.33333333333333,9.66666666666667,7.66666666666667,10,9.66666666666667,9.25,2,7,10,9,9,7,10,9,1,10,10,9,10,3,7,2,10,10,10,7,4,3,10,9,9,3.83333333333333,1,0,3,4,4,4,4,4,1,1,1,1,0,0,0,0,0,0,12,1,2,2,0,1,1,2,1,1,1,18.2857142857143,13.6,9.33333333333333,17.5,5,4,4,5,4,5,4,5,5,4,1,3,3,4,5,4,5,5,5,2,1,4,5,5,5,2
28,3,3,2,3,2,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,5,31,6,6,6,3,6,4,28,3,2,3,3,3,4,2,3,3,2,42,19,23,2,4,3,3,2,3,2,4,3,3,1,3,3,2,2,2,6.66666666666667,7.66666666666667,5.66666666666667,7,6.33333333333333,6.625,4.66666666666667,4,7,7,8,4,6,7,6,7,7,7,8,6,5,2,6,5,7,3,4,6,7,7,6,2.5,2.25,1.5,2,1,3,3,3,3,3,2,1,3,0,0,2,3,2,2,23,3,2,3,2,2,3,3,2,1,2,11.4285714285714,11.2,8,12.5,2,1,4,4,2,3,3,2,3,2,3,1,4,4,3,1,2,4,2,1,3,2,4,5,2,4
26,3,3,2,2,3,3,3,2,2,3,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,2,1,1,13,39,7,7,7,6,6,6,32,3,3,3,3,3,4,4,3,3,3,35,19,16,2,2,2,2,1,2,2,2,3,2,2,2,4,2,2,3,7,7.66666666666667,7.33333333333333,6,6.33333333333333,6.9375,3.66666666666667,7,5,4,7,7,7,8,6,6,6,7,8,3,7,2,8,9,7,7,6,3,8,7,8,2.5,1,1.33333333333333,2,2,3,3,2,3,1,1,1,1,1,2,1,2,1,1,17,2,3,2,1,2,1,2,2,2,0,15.4285714285714,14.4,14.6666666666667,16,5,4,4,5,4,4,4,5,3,2,3,3,4,3,4,4,4,4,5,4,3,4,5,4,5,2
23,2,2,2,3,2,2,2,2,3,3,2,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,11,42,7,7,7,7,7,7,31,4,2,3,3,3,4,3,3,3,3,26,10,16,1,4,1,1,1,3,1,3,1,2,1,2,1,2,1,1,6.33333333333333,7.33333333333333,7.66666666666667,9,7.66666666666667,7.5625,5.33333333333333,6.33333333333333,8,7,8,6,6,8,8,6,9,6,7,6,6,3,9,10,10,7,6,5,7,7,7,3,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,20,3,2,3,1,2,3,1,1,2,2,15.4285714285714,14.4,12,16.5,4,2,5,5,3,4,3,5,4,2,3,4,4,2,5,2,4,4,4,3,1,5,4,5,5,4
27,3,3,3,3,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,42,7,7,7,7,7,7,30,3,3,3,3,3,3,3,3,3,3,35,18,17,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,6.66666666666667,8.66666666666667,6,7.33333333333333,6.66666666666667,7.125,4.66666666666667,5.66666666666667,7,6,8,5,6,4,8,5,8,7,9,6,6,2,8,9,7,6,6,4,9,7,8,3,1.5,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,19,2,1,3,2,1,2,2,2,2,2,17.7142857142857,15.2,13.3333333333333,14.5,4,4,5,4,5,5,4,4,4,4,3,3,3,3,5,4,5,4,4,4,3,3,4,4,4,2
31,3,3,2,4,4,3,3,3,4,2,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,12,39,7,7,6,6,7,6,38,4,4,4,4,4,3,3,4,4,4,30,17,13,2,3,2,1,1,3,1,1,1,1,2,2,4,2,2,2,5,6,5.66666666666667,8,6,6.125,6.33333333333333,4.33333333333333,7,7,8,6,7,4,8,3,7,7,7,3,2,9,5,8,10,5,8,2,3,1,6,4,1,0,4,4,4,4,4,4,1,1,1,1,0,0,0,0,0,0,30,3,3,4,3,2,3,2,3,3,4,14.2857142857143,12,8,12,4,2,4,5,4,5,3,5,4,1,0,1,2,0,4,3,4,4,2,2,1,3,4,4,4,4
40,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,2,0,8,42,7,7,7,7,7,7,40,4,4,4,4,4,4,4,4,4,4,25,14,11,1,1,1,2,1,4,1,2,3,1,1,1,2,1,1,2,7.66666666666667,9.66666666666667,9.33333333333333,9,8.66666666666667,8.75,3,8.66666666666667,7,10,9,8,7,10,2,9,10,6,10,2,8,4,10,7,10,10,8,3,10,10,7,3.33333333333333,1,0.333333333333333,3,3,3,4,4,3,1,0,1,2,0,0,2,0,0,0,16,3,3,2,0,0,1,1,2,3,1,16,13.6,14.6666666666667,14.5,4,4,4,5,3,4,4,4,4,3,4,3,4,2,5,2,4,5,3,4,2,5,5,2,5,3
24,3,3,1,2,3,3,2,2,2,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,21,39,7,7,7,6,6,6,37,4,3,3,4,4,4,4,4,4,3,37,18,19,2,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,7.33333333333333,6.33333333333333,7.33333333333333,8.33333333333333,8,7.5,3.33333333333333,7.33333333333333,8,9,7,8,8,8,5,7,9,7,7,4,6,1,7,8,8,8,7,4,5,7,8,2.33333333333333,1.25,1.33333333333333,3,2,2,3,2,2,1,1,1,2,1,1,2,2,1,1,18,2,2,3,1,1,2,2,2,1,2,16.5714285714286,15.2,16,16,4,4,5,5,4,5,4,4,4,3,3,3,3,3,5,3,4,4,4,4,4,4,5,5,5,3
30,3,3,2,4,2,4,3,4,3,2,1,2,1,3,3,2,1,1,0,1,0,1,0,1,1,1,1,0,0,1,21,36,6,5,7,6,6,6,31,4,3,3,3,3,4,2,3,3,3,30,14,16,2,2,1,2,2,1,1,2,2,2,2,2,3,2,2,2,7.66666666666667,9,6.66666666666667,8.33333333333333,7.66666666666667,7.875,6.33333333333333,8,8,7,9,8,7,8,8,7,9,8,8,2,7,8,6,9,8,9,6,3,10,8,8,3.33333333333333,0.5,0.166666666666667,3,3,4,3,4,3,1,1,0,0,0,0,1,0,0,0,17,2,2,2,1,2,1,1,3,2,1,17.1428571428571,12.8,13.3333333333333,13.5,4,4,4,5,4,4,4,4,4,3,2,2,3,2,5,4,4,5,4,3,3,4,4,5,3,2
24,3,2,1,1,3,3,2,2,3,4,1,1,3,1,1,1,2,0,1,2,0,2,0,1,2,2,2,1,0,2,25,41,7,7,7,7,6,7,31,3,3,2,3,4,4,3,3,3,3,45,21,24,1,3,3,3,3,1,3,3,3,3,3,3,4,3,3,3,6,7.33333333333333,6.66666666666667,4.33333333333333,4,5.6875,4.66666666666667,7,5,3,8,7,7,6,8,5,4,5,7,6,6,2,7,4,4,8,7,4,7,6,6,0.166666666666667,2.5,2.33333333333333,1,0,0,0,0,0,3,3,2,2,2,3,3,2,2,2,27,3,3,3,3,3,0,2,4,2,4,16,13.6,16,16,5,4,5,5,4,4,2,4,4,3,4,4,4,4,5,4,3,3,3,4,4,4,4,3,5,2
39,4,4,3,4,4,4,4,4,4,4,0,3,3,3,3,3,3,3,0,0,3,0,0,0,1,0,0,1,0,0,26,36,7,7,1,7,7,7,10,1,1,1,1,1,1,1,1,1,1,38,20,18,1,4,4,4,1,4,1,3,3,2,3,2,3,1,1,1,8,10,8,9.33333333333333,9.33333333333333,8.875,3.33333333333333,9.33333333333333,10,10,10,10,7,8,5,10,10,10,10,4,8,2,8,8,8,10,8,3,10,7,8,4,2,1.5,4,4,4,4,4,4,1,3,2,2,2,2,2,1,1,1,13,1,3,2,2,0,1,1,1,1,1,18.8571428571429,16,20,17,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,2
40,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,1,0,0,7,42,7,7,7,7,7,7,40,4,4,4,4,4,4,4,4,4,4,19,11,8,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,6.66666666666667,10,10,10,10,8.75,0,10,10,10,10,10,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,0,10,0,0,3.33333333333333,0,0,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4285714285714,15.2,20,17.5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,5,5,5,5,5,5,5,5,4,5,5,1
34,3,3,2,3,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,5,42,7,7,7,7,7,7,37,4,4,3,3,4,4,3,4,4,4,28,12,16,1,3,1,3,1,2,1,3,2,2,1,2,3,1,1,1,8,4.33333333333333,6.33333333333333,8.66666666666667,9,7.3125,2,5.33333333333333,8,9,6,8,7,9,1,9,9,8,3,8,1,0,8,9,9,7,2,5,4,9,8,3.33333333333333,0.25,1.66666666666667,3,3,4,3,4,3,1,0,0,0,0,3,3,1,1,2,12,2,2,2,1,0,1,2,0,1,1,15.4285714285714,12.8,14.6666666666667,13.5,4,3,3,4,3,4,3,4,4,3,3,4,1,2,5,4,4,4,4,3,4,4,4,4,4,2
24,3,3,2,3,2,2,2,2,3,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,8,38,7,7,6,6,6,6,29,3,3,2,3,3,3,3,3,3,3,37,16,21,2,3,2,4,2,2,2,2,2,3,2,3,1,2,3,2,4.66666666666667,5.66666666666667,4,5.66666666666667,5,5.0625,3,4.33333333333333,7,5,5,4,4,3,3,4,5,6,5,1,4,2,6,6,5,5,3,4,7,4,6,2.33333333333333,1.25,1.16666666666667,3,3,2,2,3,1,2,2,1,0,1,1,2,1,1,1,23,2,3,3,2,2,3,2,2,2,2,13.7142857142857,11.2,12,12.5,3,2,3,5,2,3,3,3,3,2,3,2,3,1,5,3,3,3,4,3,3,3,4,4,5,2
38,4,4,4,4,4,4,3,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,0,11,40,7,7,7,7,7,5,36,4,3,3,4,4,4,3,4,3,4,22,10,12,1,3,1,2,1,1,1,1,3,2,1,1,1,1,1,1,8.66666666666667,9.33333333333333,9.33333333333333,9.33333333333333,8.33333333333333,9.0625,2.66666666666667,9.66666666666667,10,8,8,10,9,8,2,8,10,9,10,7,9,3,10,9,8,10,10,3,10,8,10,4,0,0.166666666666667,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0,13,1,1,2,1,0,1,2,1,3,1,18.2857142857143,15.2,18.6666666666667,17,5,5,5,5,5,5,2,4,5,3,3,3,4,3,5,4,5,5,4,5,4,5,5,5,5,2
