"resilience_total","cdrisc_1","cdrisc_2","cdrisc_3","cdrisc_4","cdrisc_5","cdrisc_6","cdrisc_7","cdrisc_8","cdrisc_9","cdrisc_10","gfma_1_r","gfma_2","gfma_3","gfma_4_r","gfma_5","gfma_6","gfma_7_r","gfma_8_r","gfma_9","gfma_10","gfma_11_r","gfma_12_r","gfma_13","gfma_14_r","gfma_15","gfma_16_r","gfma_17_r","gfma_18","gfma_19","gfma_20_r","gfma_total","gratitude_total","gratitude_1","gratitude_2","gratitude_3_r","gratitude_4","gratitude_5","gratitude_6_r","self_efficacy_total","gse_1","gse_2","gse_3","gse_4","gse_5","gse_6","gse_7","gse_8","gse_9","gse_10","burnout_total","burnout_disengagement","burnout_exhaustion","olbi_1","olbi_2_r","olbi_3_r","olbi_4_r","olbi_5","olbi_6_r","olbi_7","olbi_8_r","olbi_9_r","olbi_10","olbi_11_r","olbi_12_r","olbi_13","olbi_14","olbi_15","olbi_16","perma_pos_emotions","perma_engagement","perma_relationships","perma_meaning","perma_accomplishment","perma_wellbeing","perma_neg_emotion","perma_health","perma_1","perma_2","perma_3","perma_4","perma_5","perma_6","perma_7","perma_8","perma_9","perma_10","perma_11","perma_12","perma_13","perma_14","perma_15","perma_16","perma_17","perma_18","perma_19","perma_20","perma_21","perma_22","perma_23","pfi_fulfillment","pfi_emotexhaust","pfi_disengagement","pfi_1","pfi_2","pfi_3","pfi_4","pfi_5","pfi_6","pfi_7","pfi_8","pfi_9","pfi_10","pfi_11","pfi_12","pfi_13","pfi_14","pfi_15","pfi_16","pss_total","pss_1","pss_2","pss_3","pss_4_r","pss_5_r","pss_6","pss_7_r","pss_8_r","pss_9","pss_10","dom1","dom2","dom3","dom4","who_1","who_2","who_3_r","who_4_r","who_5","who_6","who_7","who_8","who_9","who_10","who_11","who_12","who_13","who_14","who_15","who_16","who_17","who_18","who_19","who_20","who_21","who_22","who_23","who_24","who_25","who_26_r"
25,2,3,2,2,4,2,3,2,2,3,1,0,1,0,0,0,0,2,0,1,2,1,0,1,1,1,1,1,0,0,13,31,6,6,4,5,7,3,29,3,4,3,3,3,3,3,2,3,2,45,22,23,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,4.33333333333333,7,2.33333333333333,6.33333333333333,5,5,5,6.66666666666667,5,5,7,7,5,3,5,5,7,5,6,10,7,2,3,5,7,6,1,8,8,3,5,1.83333333333333,3,1.66666666666667,1,1,1,3,3,2,3,3,3,3,1,2,0,2,2,3,23,3,3,1,2,2,3,1,2,3,3,10.8571428571429,7.2,5.33333333333333,12,2,3,3,4,2,2,2,3,4,1,1,1,2,2,4,3,2,2,2,1,1,2,4,4,4,2
23,3,3,2,2,3,2,2,2,2,2,1,0,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,20,36,6,6,6,6,6,6,26,3,2,3,3,2,3,2,2,3,3,38,21,17,3,3,2,2,2,3,2,2,3,2,2,2,3,2,3,2,4.33333333333333,3.66666666666667,2,4.66666666666667,3,3.6875,4.66666666666667,5,4,1,2,6,3,3,4,2,4,6,6,9,3,4,3,6,6,6,0,6,3,4,6,1.33333333333333,1,1.16666666666667,1,1,1,2,2,1,2,0,2,0,0,0,1,2,2,2,18,2,2,2,1,2,1,2,3,2,1,14.8571428571429,9.6,5.33333333333333,8.5,2,2,4,5,3,3,2,4,4,2,1,2,1,0,3,4,4,4,2,1,1,2,2,3,1,3
36,3,4,3,3,4,4,3,4,4,4,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,2,0,0,1,10,42,7,7,7,7,7,7,36,3,3,3,4,4,3,4,4,4,4,33,17,16,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,7.66666666666667,8,8,8,7.66666666666667,7.875,2.66666666666667,7.33333333333333,8,6,8,7,7,9,3,8,8,8,8,2,7,3,8,9,8,8,7,2,8,8,8,2.83333333333333,1,1,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,14,2,2,2,1,1,1,1,1,2,1,15.4285714285714,13.6,14.6666666666667,14,4,4,4,5,3,5,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3,4,3,4,4,2
35,4,4,2,3,3,4,3,4,4,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,37,7,7,7,7,7,2,39,4,4,3,4,4,4,4,4,4,4,25,12,13,1,3,1,1,2,1,1,1,1,2,1,1,4,2,2,1,8.66666666666667,6.66666666666667,10,8.66666666666667,8.66666666666667,8.5625,1,9,8,8,7,9,8,10,1,9,9,9,8,0,9,1,10,9,9,9,10,1,5,9,9,3.5,1,0,4,3,3,3,4,4,2,0,1,1,0,0,0,0,0,0,8,1,1,1,0,1,2,0,0,1,1,16.5714285714286,14.4,18.6666666666667,15,5,4,5,5,5,4,4,5,4,4,4,3,3,3,5,5,3,2,3,5,4,5,4,4,4,2
24,3,3,2,2,2,1,3,3,3,2,0,0,1,1,1,1,2,0,2,1,1,1,2,2,2,1,1,1,1,1,22,37,6,6,6,6,7,6,28,3,3,1,3,4,3,2,3,3,3,45,22,23,2,3,3,2,3,2,3,3,3,2,2,3,4,4,3,3,6,8,3.33333333333333,2.66666666666667,5,5.0625,5,5,4,2,8,6,6,1,8,3,3,6,6,9,4,1,6,10,1,5,3,6,10,6,6,0.833333333333333,2.5,1.16666666666667,0,1,1,0,1,2,3,2,2,3,2,0,0,3,2,0,25,3,3,3,1,2,4,1,3,2,3,17.7142857142857,14.4,10.6666666666667,12,4,2,5,5,4,4,3,5,5,3,3,1,3,1,5,4,5,4,4,4,3,1,4,2,3,3
24,3,2,2,2,3,3,2,2,2,3,2,0,0,1,0,0,0,2,0,0,0,1,0,2,2,0,0,0,2,0,12,31,6,6,5,6,7,1,23,3,3,2,2,2,2,2,2,2,3,47,24,23,3,4,2,3,2,3,3,3,3,3,3,3,4,2,3,3,5.33333333333333,5.66666666666667,6.33333333333333,5.66666666666667,6.33333333333333,5.875,6,4.33333333333333,7,5,5,4,6,7,6,4,4,5,5,4,2,7,6,10,6,7,6,5,7,5,6,1.83333333333333,2.5,2,2,2,2,2,1,2,3,2,2,3,2,2,2,2,2,2,25,3,3,3,2,2,2,2,3,2,3,10.8571428571429,7.2,8,10.5,3,3,4,4,3,2,3,3,3,2,1,2,2,2,3,2,2,2,1,2,1,3,3,3,3,2
31,3,3,3,3,4,3,2,4,4,2,0,0,1,0,3,2,1,1,0,1,1,1,0,1,0,1,1,1,2,1,18,40,7,7,7,7,7,5,34,4,4,2,3,4,4,3,3,4,3,46,22,24,2,3,3,3,3,2,2,4,3,3,3,4,4,2,3,2,7.33333333333333,8.33333333333333,8,7,7,7.5625,7.66666666666667,1.33333333333333,6,6,7,1,8,9,9,5,8,8,8,8,0,8,10,10,7,3,5,6,10,6,8,2.5,3.5,2.83333333333333,1,3,2,3,3,3,3,4,3,4,3,3,2,3,3,3,29,3,4,4,2,2,2,2,3,4,3,12,12,9.33333333333333,12,3,1,2,3,4,4,2,5,3,2,1,2,3,1,5,3,2,4,2,2,2,3,2,4,4,4
28,2,4,3,3,3,2,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,22,38,7,7,7,7,4,6,31,3,3,3,3,3,4,3,3,3,3,28,15,13,1,3,1,1,1,2,2,2,3,2,1,1,3,1,2,2,6.33333333333333,6,2.66666666666667,5.66666666666667,7.33333333333333,5.5625,7.33333333333333,6,7,5,8,6,5,1,7,8,3,8,5,9,4,7,1,9,7,8,6,8,5,6,5,2,1.75,3,2,2,2,3,2,1,1,3,2,1,3,3,3,3,3,3,12,2,0,3,1,1,0,2,1,2,0,14.2857142857143,11.2,5.33333333333333,16,4,2,4,4,3,3,3,4,4,2,2,4,4,3,5,4,3,3,3,2,1,1,5,4,4,3
29,3,4,2,2,2,3,4,2,4,3,1,1,2,1,1,2,1,0,2,1,2,2,0,0,1,1,1,1,1,1,22,33,6,5,6,5,6,5,31,3,3,3,3,3,4,3,3,3,3,51,25,26,3,3,3,3,3,4,3,4,3,3,3,4,3,2,3,4,4.66666666666667,4.33333333333333,4.33333333333333,4,6,4.5625,5.33333333333333,5,5,4,6,6,6,5,6,8,4,5,5,8,3,4,6,6,3,6,2,6,2,3,3,0.833333333333333,3,2.83333333333333,0,1,0,0,4,0,2,2,4,4,2,2,2,3,4,4,24,2,2,2,3,3,1,2,4,2,3,12,9.6,9.33333333333333,13,3,2,2,5,2,2,2,4,3,3,3,1,3,2,4,1,3,3,2,2,2,3,5,4,4,3
26,3,2,2,2,3,3,2,3,3,3,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,19,39,7,7,6,7,6,6,29,3,3,2,3,3,3,3,3,3,3,33,17,16,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,6.66666666666667,8,6.66666666666667,6.33333333333333,6.66666666666667,6.875,4,7,7,7,8,7,7,6,5,5,6,7,8,2,6,4,8,8,6,8,6,3,8,6,7,3,1,1.16666666666667,3,2,3,2,4,4,1,1,1,1,1,2,1,1,1,1,14,2,2,1,1,1,1,1,2,2,1,17.1428571428571,11.2,14.6666666666667,13,4,3,5,5,4,4,3,4,4,3,2,1,3,3,5,4,4,4,3,3,4,4,3,4,4,1
28,3,3,2,2,2,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,40,7,7,7,6,7,6,30,3,3,3,3,3,3,3,3,3,3,38,18,20,2,3,2,3,2,2,2,2,3,3,2,2,3,3,2,2,7.33333333333333,9,9,9,7.66666666666667,8.375,5.33333333333333,9,9,8,9,9,9,10,7,7,10,8,9,1,9,5,9,8,8,9,8,4,9,5,8,3.5,0.5,0.5,4,3,4,3,4,3,0,1,1,0,0,0,0,1,1,1,20,3,2,3,1,1,2,2,2,2,2,15.4285714285714,13.6,14.6666666666667,15,4,4,5,5,4,4,2,3,4,2,3,2,3,3,4,4,4,3,3,3,3,5,5,5,5,3
16,1,2,1,2,3,2,1,1,2,1,0,0,1,1,0,1,0,0,0,0,2,0,0,2,1,1,1,1,0,1,12,30,6,5,6,5,6,2,24,3,3,3,2,3,3,1,2,2,2,45,18,27,2,4,4,4,4,3,2,3,2,3,2,4,1,2,2,3,3.33333333333333,5,4.66666666666667,4.33333333333333,4.66666666666667,4.4375,8.66666666666667,2.33333333333333,4,4,7,2,2,4,10,5,5,3,5,9,1,7,4,5,4,4,6,9,3,5,5,2.66666666666667,3,2.16666666666667,3,3,2,2,3,3,3,3,3,3,3,1,3,3,2,1,31,3,3,4,1,3,4,3,3,3,4,10.8571428571429,8.8,10.6666666666667,12.5,3,2,2,4,2,2,1,5,4,0,1,2,2,1,5,2,4,2,2,3,1,4,3,3,5,4
35,3,4,3,3,4,4,3,3,4,4,0,3,3,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,11,40,7,6,7,6,7,7,36,4,3,3,4,4,4,4,3,3,4,47,25,22,3,3,3,3,2,3,3,3,3,3,3,3,4,2,3,3,7,6.66666666666667,9,8.66666666666667,8.33333333333333,7.9375,3,10,9,9,7,10,7,8,3,7,7,8,8,3,10,3,10,9,10,10,9,3,5,6,8,0.166666666666667,3,2,0,0,0,1,0,0,3,3,3,3,2,2,2,2,2,2,13,2,1,2,0,1,3,1,1,1,1,19.4285714285714,14.4,12,13.5,4,5,5,5,4,4,4,5,4,4,4,2,4,1,5,5,5,5,5,4,2,3,2,5,4,1
